epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2437,1.90687,2.0744,1.67008,0.28208,0.14395,0.11258,0.06346,1.86945,2.90578,1.63655,0.0671549,0.000331768,0.000331768
2,110.627,1.61456,1.49395,1.39361,0.34168,0.16846,0.14012,0.08164,1.70324,2.67018,1.4631,0.0341536,0.000663785,0.000663785
3,163.318,1.49012,1.33288,1.29468,0.36517,0.15543,0.14864,0.09074,1.63125,2.58813,1.41192,0.00115098,0.000994481,0.000994481
4,215.025,1.42687,1.32022,1.25911,0.36016,0.1646,0.15301,0.09429,1.56187,2.51792,1.34787,0.00099406,0.00099406,0.00099406
5,266.596,1.38698,1.25726,1.24321,0.31294,0.18382,0.1528,0.09522,1.54759,2.49806,1.35725,0.00099208,0.00099208,0.00099208
6,317.62,1.33975,1.18639,1.21281,0.32484,0.17979,0.15808,0.09864,1.54606,2.52636,1.35559,0.0009901,0.0009901,0.0009901
7,368.679,1.314,1.13576,1.20068,0.31218,0.19452,0.1643,0.10418,1.53214,2.51576,1.33899,0.00098812,0.00098812,0.00098812
8,419.773,1.29123,1.10413,1.18285,0.34609,0.1919,0.17286,0.10879,1.51058,2.49202,1.3324,0.00098614,0.00098614,0.00098614
9,470.735,1.27721,1.05643,1.17371,0.32715,0.1908,0.16976,0.10687,1.53607,2.52262,1.34258,0.00098416,0.00098416,0.00098416
10,520.989,1.25388,1.04783,1.16202,0.34424,0.18947,0.17478,0.10932,1.53647,2.5015,1.33253,0.00098218,0.00098218,0.00098218
11,572.01,1.22631,1.0032,1.14804,0.35632,0.20278,0.17462,0.11103,1.52065,2.49723,1.3265,0.0009802,0.0009802,0.0009802
12,622.793,1.21929,0.97416,1.14312,0.33473,0.20176,0.18048,0.11273,1.55165,2.49485,1.34248,0.00097822,0.00097822,0.00097822
13,673.634,1.2082,0.97542,1.13519,0.36544,0.20643,0.17991,0.1136,1.51152,2.44954,1.32127,0.00097624,0.00097624,0.00097624
14,724.792,1.17902,0.94079,1.12657,0.43438,0.17946,0.19025,0.11996,1.5244,2.49672,1.33692,0.00097426,0.00097426,0.00097426
15,775.84,1.17566,0.91968,1.12117,0.38336,0.18557,0.18115,0.11513,1.51643,2.46907,1.34059,0.00097228,0.00097228,0.00097228
16,826.066,1.1593,0.90502,1.10999,0.40248,0.18882,0.18266,0.11645,1.51668,2.50158,1.33919,0.0009703,0.0009703,0.0009703
17,876.306,1.15375,0.89899,1.1108,0.34106,0.20802,0.18857,0.11846,1.53381,2.51488,1.34879,0.00096832,0.00096832,0.00096832
18,926.47,1.13188,0.87673,1.10376,0.40543,0.19089,0.18873,0.12055,1.53677,2.49708,1.35634,0.00096634,0.00096634,0.00096634
19,977.328,1.13699,0.8726,1.09549,0.36674,0.20294,0.18653,0.11754,1.52851,2.51326,1.3458,0.00096436,0.00096436,0.00096436
20,1027.52,1.12808,0.85901,1.09731,0.30452,0.21704,0.18838,0.11914,1.53184,2.50214,1.34743,0.00096238,0.00096238,0.00096238
21,1078.07,1.10738,0.8362,1.08173,0.35927,0.19872,0.18406,0.11505,1.52201,2.51824,1.34522,0.0009604,0.0009604,0.0009604
22,1128.17,1.09663,0.82297,1.07888,0.3748,0.19117,0.18558,0.1171,1.52491,2.5388,1.34683,0.00095842,0.00095842,0.00095842
23,1178.31,1.0911,0.81465,1.07487,0.3954,0.19732,0.18423,0.11492,1.52705,2.52366,1.3493,0.00095644,0.00095644,0.00095644
24,1228.61,1.08979,0.80913,1.07209,0.37698,0.19732,0.18934,0.11804,1.53624,2.54723,1.35648,0.00095446,0.00095446,0.00095446
