epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8639,1.9555,2.19218,1.71667,0.25358,0.1388,0.107,0.05881,1.93522,3.02512,1.70585,0.066989,0.000165884,0.000165884
2,107.55,1.68386,1.57612,1.45531,0.3453,0.1478,0.12704,0.07396,1.76168,2.74904,1.51802,0.0338217,0.000331892,0.000331892
3,158.663,1.54628,1.39066,1.32843,0.35168,0.15977,0.14327,0.08651,1.66532,2.63924,1.42969,0.000653735,0.000497241,0.000497241
4,209.687,1.46948,1.33171,1.28737,0.33,0.17159,0.14984,0.09241,1.5998,2.54899,1.37344,0.00049703,0.00049703,0.00049703
5,260.657,1.41671,1.25515,1.26097,0.28717,0.18549,0.15166,0.09415,1.56793,2.51605,1.36514,0.00049604,0.00049604,0.00049604
6,311.574,1.36983,1.17067,1.22797,0.33391,0.17547,0.15497,0.097,1.56429,2.53524,1.36462,0.00049505,0.00049505,0.00049505
7,361.844,1.34372,1.13047,1.21703,0.3867,0.16584,0.15706,0.09958,1.55821,2.54642,1.35651,0.00049406,0.00049406,0.00049406
8,411.897,1.31769,1.09643,1.19751,0.36541,0.18478,0.16446,0.10334,1.53116,2.5078,1.33422,0.00049307,0.00049307,0.00049307
9,462.214,1.30254,1.04474,1.1871,0.33925,0.1867,0.16568,0.10553,1.52553,2.51295,1.33789,0.00049208,0.00049208,0.00049208
10,512.212,1.27956,1.03947,1.17755,0.37339,0.17556,0.17181,0.10816,1.53986,2.54356,1.33746,0.00049109,0.00049109,0.00049109
11,562.228,1.2486,0.99193,1.16253,0.34274,0.18152,0.16982,0.10912,1.5447,2.52409,1.34101,0.0004901,0.0004901,0.0004901
12,612.587,1.24679,0.97229,1.15951,0.38552,0.17726,0.16881,0.10676,1.55107,2.53836,1.34133,0.00048911,0.00048911,0.00048911
13,662.5,1.23357,0.96794,1.15048,0.30213,0.19632,0.17061,0.10644,1.53691,2.52778,1.3301,0.00048812,0.00048812,0.00048812
14,712.369,1.20236,0.93464,1.13721,0.34377,0.19654,0.17426,0.11031,1.53019,2.54482,1.33333,0.00048713,0.00048713,0.00048713
15,762.339,1.20192,0.92418,1.13375,0.33434,0.19155,0.17231,0.11026,1.53052,2.54947,1.33916,0.00048614,0.00048614,0.00048614
16,812.396,1.18582,0.90185,1.12494,0.34777,0.18662,0.17366,0.11144,1.5334,2.55307,1.34947,0.00048515,0.00048515,0.00048515
17,862.528,1.17775,0.89755,1.12202,0.29866,0.20232,0.17245,0.11027,1.53344,2.55018,1.34308,0.00048416,0.00048416,0.00048416
18,912.024,1.15779,0.88256,1.11817,0.30952,0.20284,0.17496,0.11073,1.53428,2.54387,1.34931,0.00048317,0.00048317,0.00048317
19,962.059,1.16314,0.87262,1.10758,0.33114,0.20584,0.18053,0.11397,1.54705,2.54067,1.36076,0.00048218,0.00048218,0.00048218
20,1011.81,1.15629,0.87009,1.1111,0.37845,0.18052,0.1768,0.11209,1.53966,2.55422,1.34722,0.00048119,0.00048119,0.00048119
21,1061.39,1.13304,0.84234,1.09592,0.35348,0.18307,0.1729,0.1104,1.53275,2.54448,1.35155,0.0004802,0.0004802,0.0004802
22,1111.22,1.12573,0.82941,1.09123,0.31097,0.1947,0.17622,0.11112,1.54481,2.60366,1.35785,0.00047921,0.00047921,0.00047921
23,1161.18,1.12121,0.8187,1.0902,0.28998,0.20325,0.17818,0.11229,1.53468,2.54324,1.35046,0.00047822,0.00047822,0.00047822
24,1211.04,1.11789,0.81474,1.08642,0.32929,0.1902,0.17635,0.1109,1.55704,2.60231,1.35914,0.00047723,0.00047723,0.00047723
25,1261.03,1.10142,0.80598,1.0802,0.30683,0.213,0.18204,0.11471,1.54356,2.56897,1.35508,0.00047624,0.00047624,0.00047624
26,1311.16,1.10573,0.78645,1.07696,0.33894,0.20247,0.18524,0.11645,1.54952,2.54383,1.35725,0.00047525,0.00047525,0.00047525
