epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1442,1.95671,2.19407,1.7177,0.27606,0.13438,0.10862,0.0598,1.93773,3.03449,1.70732,0.066989,0.000165884,0.000165884
2,64.0542,1.68401,1.57858,1.4566,0.37418,0.13782,0.12842,0.07412,1.75725,2.73982,1.51644,0.0338217,0.000331892,0.000331892
3,93.4485,1.54355,1.39122,1.32959,0.35035,0.15794,0.14205,0.08643,1.66384,2.64174,1.43525,0.000653735,0.000497241,0.000497241
4,122.797,1.46717,1.33039,1.28845,0.34363,0.16056,0.14824,0.09175,1.59243,2.56698,1.37538,0.00049703,0.00049703,0.00049703
5,152.245,1.41763,1.25818,1.26474,0.2737,0.18761,0.15238,0.09475,1.58323,2.53947,1.37583,0.00049604,0.00049604,0.00049604
6,181.641,1.37151,1.17367,1.22942,0.36281,0.17296,0.15581,0.09781,1.55621,2.53272,1.35801,0.00049505,0.00049505,0.00049505
7,210.979,1.34057,1.13148,1.21685,0.34123,0.17988,0.15866,0.10089,1.55848,2.52276,1.35336,0.00049406,0.00049406,0.00049406
8,240.225,1.31546,1.09482,1.19718,0.33722,0.17787,0.16338,0.10292,1.53727,2.53528,1.34553,0.00049307,0.00049307,0.00049307
9,269.451,1.30216,1.04471,1.18854,0.30153,0.20002,0.16802,0.10652,1.5363,2.51311,1.33994,0.00049208,0.00049208,0.00049208
10,298.702,1.2793,1.03684,1.1798,0.3304,0.19309,0.16802,0.10605,1.54643,2.52232,1.3398,0.00049109,0.00049109,0.00049109
11,327.765,1.24692,0.99224,1.16234,0.34996,0.18944,0.16906,0.10657,1.53843,2.49827,1.33535,0.0004901,0.0004901,0.0004901
12,356.967,1.2449,0.97141,1.15783,0.39791,0.18447,0.16918,0.10672,1.55065,2.53958,1.33792,0.00048911,0.00048911,0.00048911
13,386.164,1.23253,0.96892,1.15066,0.32381,0.18545,0.17203,0.10766,1.53799,2.51759,1.34156,0.00048812,0.00048812,0.00048812
14,415.338,1.20047,0.93578,1.13908,0.33473,0.19859,0.17519,0.11109,1.53697,2.53835,1.34692,0.00048713,0.00048713,0.00048713
15,444.623,1.20195,0.92247,1.13478,0.30569,0.19694,0.17471,0.11058,1.51716,2.51389,1.3364,0.00048614,0.00048614,0.00048614
16,473.737,1.18668,0.9019,1.12521,0.31753,0.20105,0.17229,0.10989,1.53606,2.54288,1.35281,0.00048515,0.00048515,0.00048515
17,502.807,1.17882,0.89728,1.12378,0.28812,0.20798,0.17246,0.10824,1.54457,2.57195,1.35424,0.00048416,0.00048416,0.00048416
18,531.792,1.15851,0.88254,1.1178,0.35063,0.18322,0.17425,0.11146,1.53029,2.54063,1.33898,0.00048317,0.00048317,0.00048317
19,561.027,1.16195,0.87517,1.10811,0.31645,0.19796,0.17509,0.11043,1.53956,2.56943,1.35435,0.00048218,0.00048218,0.00048218
20,590.017,1.15443,0.8706,1.11116,0.34245,0.18644,0.17226,0.11003,1.53023,2.56556,1.34826,0.00048119,0.00048119,0.00048119
21,619.025,1.13551,0.84641,1.09722,0.3485,0.18837,0.17641,0.1112,1.53514,2.57178,1.35392,0.0004802,0.0004802,0.0004802
22,648.024,1.12431,0.82791,1.09131,0.33702,0.18466,0.17025,0.10801,1.54268,2.60186,1.35896,0.00047921,0.00047921,0.00047921
23,677.004,1.12178,0.81609,1.08895,0.32429,0.19389,0.17479,0.10945,1.52924,2.56188,1.33863,0.00047822,0.00047822,0.00047822
24,706.051,1.11513,0.81355,1.08531,0.32802,0.19061,0.17363,0.10878,1.55297,2.6005,1.35885,0.00047723,0.00047723,0.00047723
25,735.077,1.10086,0.8044,1.08097,0.30015,0.21309,0.18103,0.11463,1.54493,2.57754,1.35839,0.00047624,0.00047624,0.00047624
26,764.24,1.10502,0.78796,1.0753,0.41609,0.18301,0.18443,0.11528,1.53698,2.53598,1.34635,0.00047525,0.00047525,0.00047525
27,793.346,1.08707,0.78657,1.07481,0.30126,0.20884,0.18043,0.11486,1.54941,2.58811,1.35831,0.00047426,0.00047426,0.00047426
28,822.364,1.08283,0.77751,1.07012,0.35677,0.2028,0.19012,0.1208,1.53251,2.58604,1.34741,0.00047327,0.00047327,0.00047327
29,851.516,1.07646,0.77016,1.06539,0.34482,0.20422,0.18206,0.11678,1.53783,2.57976,1.35321,0.00047228,0.00047228,0.00047228
