epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6852,1.31715,4.15216,1.27548,0.58116,0.06426,0.04243,0.02738,1.52508,3.20219,1.39973,0.0670579,0.000332749,0.000332749
2,156.088,1.08201,2.70322,1.14101,0.62931,0.12416,0.10248,0.06651,1.50009,2.5172,1.33455,0.0340566,0.000664763,0.000664763
3,229.275,0.97303,2.26369,1.07572,0.5594,0.15359,0.13156,0.08437,1.48355,2.33783,1.31742,0.00105394,0.000995458,0.000995458
4,302,0.92167,2.01679,1.04753,0.44478,0.19381,0.15807,0.1015,1.42719,2.16931,1.28083,0.00099406,0.00099406,0.00099406
5,375.012,0.87785,1.83888,1.02578,0.47879,0.20525,0.17816,0.11585,1.44475,2.12188,1.27593,0.00099208,0.00099208,0.00099208
6,447.888,0.85664,1.71781,1.01667,0.41881,0.21735,0.18465,0.12069,1.42068,2.07176,1.26756,0.0009901,0.0009901,0.0009901
7,520.684,0.84073,1.60893,1.0062,0.44195,0.21219,0.19649,0.12633,1.43242,2.08341,1.27105,0.00098812,0.00098812,0.00098812
8,593.203,0.81724,1.51469,0.9948,0.39903,0.23672,0.20197,0.1308,1.42961,2.04968,1.27187,0.00098614,0.00098614,0.00098614
9,666.853,0.80944,1.44445,0.99098,0.35426,0.24385,0.20925,0.13607,1.41926,2.04021,1.25156,0.00098416,0.00098416,0.00098416
10,739.963,0.79844,1.37172,0.98483,0.40371,0.23615,0.21371,0.13993,1.4237,2.03348,1.25885,0.00098218,0.00098218,0.00098218
11,813.141,0.77397,1.30216,0.97427,0.42821,0.22053,0.21246,0.13894,1.42519,2.05997,1.25555,0.0009802,0.0009802,0.0009802
12,885.739,0.7755,1.25281,0.97578,0.40419,0.23156,0.20947,0.13731,1.42545,2.05481,1.25934,0.00097822,0.00097822,0.00097822
13,958.26,0.76176,1.17511,0.96393,0.35846,0.23404,0.21822,0.14165,1.43666,2.08439,1.2659,0.00097624,0.00097624,0.00097624
14,1031.01,0.76368,1.14219,0.96666,0.40011,0.22972,0.21365,0.13612,1.45854,2.10147,1.27069,0.00097426,0.00097426,0.00097426
15,1103.55,0.74223,1.09043,0.95769,0.40657,0.23098,0.21337,0.13584,1.44353,2.08657,1.27492,0.00097228,0.00097228,0.00097228
16,1176.27,0.73143,1.05739,0.95686,0.40225,0.24629,0.21533,0.13773,1.45599,2.10058,1.27794,0.0009703,0.0009703,0.0009703
17,1249.29,0.72669,1.01532,0.95162,0.43039,0.22525,0.21755,0.14038,1.42974,2.10396,1.26216,0.00096832,0.00096832,0.00096832
