epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.213,1.30548,4.14613,1.28902,0.53393,0.06672,0.04976,0.03305,1.52376,3.11618,1.43715,0.0670579,0.000332749,0.000332749
2,154.316,1.0864,2.67664,1.17254,0.6257,0.12309,0.09885,0.0638,1.5053,2.51093,1.37785,0.0340566,0.000664763,0.000664763
3,226.743,0.98076,2.26243,1.10653,0.55848,0.15146,0.12814,0.08269,1.48365,2.32539,1.36081,0.00105394,0.000995458,0.000995458
4,298.663,0.92838,2.02074,1.06944,0.47945,0.19235,0.16251,0.10484,1.44676,2.17924,1.3261,0.00099406,0.00099406,0.00099406
5,370.526,0.8817,1.83679,1.04388,0.46703,0.19861,0.17307,0.11263,1.43302,2.12286,1.31375,0.00099208,0.00099208,0.00099208
6,442.365,0.86171,1.71316,1.03123,0.43694,0.21498,0.18615,0.12057,1.41857,2.0785,1.29909,0.0009901,0.0009901,0.0009901
7,514.213,0.84402,1.60028,1.02188,0.44172,0.20762,0.1954,0.12894,1.42993,2.05529,1.30639,0.00098812,0.00098812,0.00098812
8,586.045,0.82227,1.50593,1.00957,0.41732,0.22221,0.20536,0.13406,1.43907,2.0577,1.29589,0.00098614,0.00098614,0.00098614
9,657.817,0.8127,1.43541,1.00585,0.37569,0.22981,0.19974,0.13161,1.41431,2.07123,1.28268,0.00098416,0.00098416,0.00098416
10,729.398,0.79994,1.35931,0.99962,0.37499,0.23128,0.20586,0.13389,1.42134,2.07501,1.2896,0.00098218,0.00098218,0.00098218
11,800.946,0.77729,1.29336,0.98842,0.44881,0.2004,0.20594,0.13355,1.4343,2.07471,1.29097,0.0009802,0.0009802,0.0009802
12,872.895,0.77928,1.24897,0.98913,0.4058,0.2313,0.21447,0.13766,1.43379,2.06035,1.28812,0.00097822,0.00097822,0.00097822
13,945.025,0.76298,1.16774,0.97748,0.39661,0.22046,0.20747,0.13309,1.43035,2.05387,1.28495,0.00097624,0.00097624,0.00097624
14,1016.78,0.76596,1.13388,0.97861,0.34993,0.24515,0.20853,0.13501,1.45565,2.08198,1.30129,0.00097426,0.00097426,0.00097426
15,1088.44,0.74474,1.08349,0.97047,0.35319,0.23824,0.21413,0.13922,1.43729,2.0708,1.29575,0.00097228,0.00097228,0.00097228
16,1159.99,0.73534,1.04994,0.97007,0.35969,0.22073,0.21008,0.13369,1.44887,2.10164,1.29653,0.0009703,0.0009703,0.0009703
17,1231.42,0.73214,1.01272,0.96518,0.3468,0.23619,0.20761,0.13318,1.4448,2.12409,1.29067,0.00096832,0.00096832,0.00096832
18,1302.87,0.7239,0.98617,0.96452,0.39509,0.24391,0.2212,0.14096,1.44055,2.10169,1.29432,0.00096634,0.00096634,0.00096634
19,1374.88,0.72125,0.9482,0.95948,0.33903,0.23663,0.21633,0.13685,1.46795,2.11327,1.30315,0.00096436,0.00096436,0.00096436
20,1446.91,0.71286,0.9259,0.95433,0.39033,0.2335,0.21663,0.13737,1.45385,2.11137,1.29977,0.00096238,0.00096238,0.00096238
21,1518.87,0.70591,0.89382,0.95417,0.37533,0.22018,0.2155,0.1396,1.4512,2.13505,1.29404,0.0009604,0.0009604,0.0009604
22,1590.6,0.70144,0.87259,0.94975,0.35487,0.24625,0.21832,0.14188,1.46429,2.13619,1.31469,0.00095842,0.00095842,0.00095842
23,1662.52,0.70336,0.8548,0.95135,0.35555,0.23023,0.2139,0.13765,1.45566,2.15172,1.29201,0.00095644,0.00095644,0.00095644
24,1734.25,0.6902,0.81974,0.94306,0.37162,0.24124,0.22279,0.14536,1.45512,2.15543,1.30299,0.00095446,0.00095446,0.00095446
25,1805.94,0.69022,0.8084,0.94162,0.31702,0.24055,0.21904,0.14199,1.47852,2.1701,1.30642,0.00095248,0.00095248,0.00095248
26,1877.46,0.68351,0.78972,0.93973,0.34629,0.25035,0.21702,0.13701,1.47717,2.14643,1.31051,0.0009505,0.0009505,0.0009505
27,1949.04,0.67792,0.76925,0.93964,0.36073,0.23539,0.21859,0.13907,1.46564,2.15656,1.30106,0.00094852,0.00094852,0.00094852
28,2020.64,0.67724,0.75548,0.9368,0.36648,0.23702,0.22008,0.13936,1.45449,2.16978,1.29811,0.00094654,0.00094654,0.00094654
29,2092.79,0.67235,0.7398,0.93379,0.42293,0.22053,0.22251,0.14203,1.45436,2.21357,1.30531,0.00094456,0.00094456,0.00094456
30,2164.17,0.66566,0.72459,0.92927,0.33125,0.23683,0.21913,0.13808,1.46468,2.20317,1.31133,0.00094258,0.00094258,0.00094258
31,2235.74,0.65945,0.71005,0.92809,0.38002,0.23576,0.21667,0.13886,1.46691,2.22788,1.31832,0.0009406,0.0009406,0.0009406
32,2307.3,0.66188,0.70294,0.92739,0.40955,0.23028,0.21895,0.14458,1.4525,2.19173,1.30317,0.00093862,0.00093862,0.00093862
