epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4297,1.90766,2.49876,1.6502,0.38731,0.13146,0.12711,0.074,1.71945,2.50096,1.49719,0.0670554,0.000232238,0.000232238
2,108.037,1.61122,1.99597,1.40654,0.36787,0.17873,0.15907,0.09906,1.54261,2.28005,1.36121,0.0339545,0.000464649,0.000464649
3,159.187,1.5056,1.82808,1.32598,0.37673,0.19973,0.17304,0.10741,1.49475,2.25435,1.33155,0.000852631,0.000696137,0.000696137
4,209.668,1.44008,1.77291,1.29454,0.39393,0.18807,0.18303,0.11735,1.45306,2.15021,1.29835,0.000695842,0.000695842,0.000695842
5,260.006,1.40168,1.70191,1.27626,0.34159,0.23391,0.19451,0.12663,1.42174,2.14403,1.28384,0.000694456,0.000694456,0.000694456
6,310.479,1.36995,1.59896,1.24842,0.42701,0.22047,0.20249,0.13016,1.41393,2.12372,1.28299,0.00069307,0.00069307,0.00069307
7,361.002,1.34075,1.55306,1.23874,0.42259,0.22352,0.20981,0.13589,1.40572,2.10072,1.27659,0.000691684,0.000691684,0.000691684
8,411.447,1.32507,1.51208,1.22378,0.3939,0.24023,0.21426,0.13665,1.40238,2.0859,1.27217,0.000690298,0.000690298,0.000690298
9,461.904,1.32195,1.45225,1.21906,0.40317,0.23147,0.21198,0.13588,1.40957,2.07581,1.27753,0.000688912,0.000688912,0.000688912
10,511.281,1.28986,1.42378,1.20169,0.39205,0.24352,0.20948,0.13241,1.40876,2.10856,1.26853,0.000687526,0.000687526,0.000687526
11,561.157,1.27006,1.37278,1.19543,0.36553,0.25206,0.2201,0.14141,1.39904,2.05991,1.26583,0.00068614,0.00068614,0.00068614
12,611.743,1.26774,1.35148,1.19424,0.369,0.25006,0.21703,0.14119,1.42714,2.10708,1.27965,0.000684754,0.000684754,0.000684754
13,661.465,1.25632,1.3343,1.1829,0.3736,0.25081,0.21108,0.13794,1.41441,2.10636,1.27009,0.000683368,0.000683368,0.000683368
14,711.394,1.22958,1.29158,1.17303,0.42077,0.22848,0.21542,0.13946,1.40818,2.09256,1.26591,0.000681982,0.000681982,0.000681982
15,761.315,1.22944,1.26845,1.16923,0.39669,0.25372,0.22399,0.14503,1.3887,2.06729,1.26578,0.000680596,0.000680596,0.000680596
16,812.315,1.22032,1.23438,1.15861,0.37338,0.25049,0.22619,0.14439,1.41266,2.08261,1.27494,0.00067921,0.00067921,0.00067921
17,862.089,1.21148,1.24554,1.15946,0.36171,0.25121,0.22806,0.1483,1.40414,2.11252,1.27512,0.000677824,0.000677824,0.000677824
18,912.726,1.19093,1.19819,1.15046,0.36991,0.26114,0.22553,0.14561,1.40181,2.08344,1.27058,0.000676438,0.000676438,0.000676438
19,963.465,1.1975,1.18738,1.14342,0.39707,0.26338,0.23321,0.1496,1.39098,2.08958,1.26651,0.000675052,0.000675052,0.000675052
20,1015.57,1.19047,1.18623,1.14888,0.39762,0.24049,0.22263,0.14373,1.3991,2.10675,1.26357,0.000673666,0.000673666,0.000673666
21,1066.38,1.17193,1.14404,1.1337,0.37022,0.25947,0.23105,0.14721,1.40917,2.12226,1.27428,0.00067228,0.00067228,0.00067228
22,1116.83,1.15699,1.11958,1.12509,0.34029,0.25237,0.22392,0.14317,1.41408,2.1368,1.281,0.000670894,0.000670894,0.000670894
23,1167.33,1.15948,1.09512,1.12305,0.39716,0.24931,0.233,0.14893,1.40909,2.10385,1.28053,0.000669508,0.000669508,0.000669508
24,1217.83,1.15505,1.08853,1.12452,0.33513,0.25729,0.23326,0.14742,1.42125,2.0953,1.28235,0.000668122,0.000668122,0.000668122
25,1268.02,1.13514,1.07764,1.11703,0.35502,0.27253,0.23065,0.14991,1.40725,2.12633,1.27359,0.000666736,0.000666736,0.000666736
26,1319.56,1.14833,1.05841,1.11263,0.38349,0.25839,0.23513,0.15082,1.40969,2.12393,1.27772,0.00066535,0.00066535,0.00066535
27,1370.86,1.12536,1.05464,1.11198,0.42647,0.24977,0.23167,0.14832,1.42728,2.1364,1.29527,0.000663964,0.000663964,0.000663964
28,1420.91,1.12628,1.03794,1.11065,0.42523,0.25699,0.23095,0.14802,1.41055,2.13592,1.28501,0.000662578,0.000662578,0.000662578
29,1471.43,1.12196,1.01677,1.10454,0.415,0.24704,0.23409,0.14839,1.42543,2.12895,1.29342,0.000661192,0.000661192,0.000661192
30,1521.81,1.12086,1.01258,1.10712,0.37537,0.24966,0.24235,0.15393,1.42737,2.11359,1.2951,0.000659806,0.000659806,0.000659806
31,1573.02,1.10122,0.99203,1.09446,0.37516,0.2463,0.23689,0.15051,1.42007,2.14272,1.28251,0.00065842,0.00065842,0.00065842
32,1623.35,1.10057,0.99465,1.09975,0.36859,0.2792,0.24437,0.15419,1.43579,2.15075,1.29745,0.000657034,0.000657034,0.000657034
33,1674.35,1.1022,0.96452,1.09544,0.37926,0.2702,0.2413,0.15299,1.44349,2.15311,1.30121,0.000655648,0.000655648,0.000655648
34,1724.38,1.08356,0.9574,1.0888,0.35518,0.26483,0.23862,0.15347,1.42203,2.13712,1.29652,0.000654262,0.000654262,0.000654262
35,1774.23,1.08942,0.95411,1.08714,0.39628,0.26081,0.24418,0.15746,1.42848,2.15332,1.29084,0.000652876,0.000652876,0.000652876
36,1825.48,1.07246,0.93167,1.07887,0.41721,0.25068,0.24185,0.15576,1.42383,2.16056,1.29503,0.00065149,0.00065149,0.00065149
37,1875.49,1.07507,0.9382,1.08048,0.4027,0.2529,0.23759,0.15047,1.43757,2.17292,1.30459,0.000650104,0.000650104,0.000650104
38,1925.61,1.06422,0.91445,1.0801,0.43538,0.25558,0.24645,0.15737,1.42141,2.16466,1.28729,0.000648718,0.000648718,0.000648718
39,1976.41,1.05081,0.90633,1.07448,0.38095,0.27019,0.24715,0.15789,1.43215,2.19263,1.29955,0.000647332,0.000647332,0.000647332
40,2027.78,1.06198,0.92228,1.07779,0.42986,0.25506,0.2527,0.16197,1.43362,2.17575,1.30129,0.000645946,0.000645946,0.000645946
41,2079.02,1.05227,0.88847,1.06816,0.39652,0.25758,0.24775,0.15684,1.44288,2.16113,1.31076,0.00064456,0.00064456,0.00064456
42,2129.34,1.04259,0.89393,1.06659,0.43071,0.24628,0.25116,0.15908,1.43043,2.19415,1.30487,0.000643174,0.000643174,0.000643174
43,2179.72,1.02954,0.87195,1.06128,0.36914,0.27229,0.24541,0.15656,1.44446,2.17323,1.3101,0.000641788,0.000641788,0.000641788
44,2230.4,1.02654,0.87652,1.06089,0.40661,0.23959,0.23982,0.1521,1.4382,2.16453,1.30772,0.000640402,0.000640402,0.000640402
45,2280.69,1.0346,0.85814,1.05129,0.35717,0.27579,0.24059,0.15286,1.44407,2.18147,1.30963,0.000639016,0.000639016,0.000639016
46,2330.79,1.01629,0.86786,1.05538,0.41597,0.25595,0.24661,0.15923,1.43916,2.19161,1.3156,0.00063763,0.00063763,0.00063763
47,2381.46,1.02011,0.85486,1.05422,0.40068,0.26201,0.25314,0.16351,1.43795,2.17946,1.30504,0.000636244,0.000636244,0.000636244
48,2432.34,1.01823,0.84722,1.04995,0.41689,0.25442,0.25215,0.16119,1.44244,2.19911,1.31471,0.000634858,0.000634858,0.000634858
49,2482.39,1.01675,0.8302,1.04748,0.41159,0.25987,0.25117,0.15803,1.44992,2.20726,1.31766,0.000633472,0.000633472,0.000633472
50,2532.53,1.00303,0.83676,1.04455,0.41902,0.26318,0.2485,0.15701,1.4392,2.20878,1.31156,0.000632086,0.000632086,0.000632086
51,2583.06,0.9977,0.82301,1.04012,0.41874,0.26098,0.24335,0.15423,1.45169,2.20524,1.32038,0.0006307,0.0006307,0.0006307
52,2633.5,0.99641,0.82033,1.04608,0.44409,0.23635,0.25096,0.15785,1.44892,2.22669,1.30841,0.000629314,0.000629314,0.000629314
53,2684.06,0.99022,0.8114,1.04167,0.45443,0.23412,0.24604,0.15562,1.4453,2.21137,1.31188,0.000627928,0.000627928,0.000627928
54,2734.59,0.98709,0.8037,1.04396,0.40184,0.25992,0.23796,0.15058,1.45829,2.22685,1.32696,0.000626542,0.000626542,0.000626542
55,2784.88,0.97516,0.79745,1.03468,0.3758,0.26082,0.23972,0.1539,1.44191,2.26402,1.32433,0.000625156,0.000625156,0.000625156
56,2835.58,0.97705,0.79575,1.03535,0.4299,0.26391,0.2446,0.15744,1.45169,2.22656,1.32734,0.00062377,0.00062377,0.00062377
57,2885.86,0.97505,0.79141,1.03564,0.39864,0.26258,0.25442,0.16206,1.44928,2.23737,1.33243,0.000622384,0.000622384,0.000622384
58,2936.31,0.96446,0.78103,1.02923,0.39704,0.27024,0.25031,0.15847,1.45126,2.21269,1.32966,0.000620998,0.000620998,0.000620998
59,2986.32,0.96694,0.77538,1.0251,0.41973,0.2505,0.25504,0.15998,1.44772,2.2587,1.32288,0.000619612,0.000619612,0.000619612
60,3036.85,0.96126,0.78495,1.03108,0.39023,0.25675,0.25082,0.1599,1.45713,2.22703,1.3364,0.000618226,0.000618226,0.000618226
61,3087.27,0.96347,0.77292,1.02165,0.35441,0.27096,0.25165,0.15926,1.45077,2.25763,1.32812,0.00061684,0.00061684,0.00061684
62,3137.55,0.95291,0.75968,1.01652,0.36831,0.27096,0.2508,0.1571,1.45713,2.25375,1.33356,0.000615454,0.000615454,0.000615454
63,3188.11,0.95572,0.75731,1.01975,0.37064,0.28393,0.25893,0.16249,1.45561,2.25806,1.3277,0.000614068,0.000614068,0.000614068
64,3238.81,0.95478,0.75719,1.01706,0.39239,0.26486,0.24687,0.15577,1.46766,2.26315,1.34491,0.000612682,0.000612682,0.000612682
65,3289.45,0.94312,0.75186,1.01736,0.34674,0.27162,0.24261,0.15434,1.45745,2.22094,1.34128,0.000611296,0.000611296,0.000611296
66,3340.68,0.94322,0.74777,1.01294,0.38919,0.26577,0.24779,0.15754,1.4555,2.23358,1.33644,0.00060991,0.00060991,0.00060991
67,3391.47,0.94113,0.73676,1.01601,0.39027,0.26793,0.2489,0.1566,1.46284,2.23362,1.33657,0.000608524,0.000608524,0.000608524
68,3441.76,0.93164,0.7398,1.00422,0.41715,0.25145,0.24823,0.15679,1.46076,2.25217,1.3345,0.000607138,0.000607138,0.000607138
