epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.0952,1.22878,4.35088,1.23313,0.44269,0.03352,0.02322,0.01532,1.67396,3.96012,1.57658,0.0670924,0.0003324,0.0003324
2,173.553,0.93616,2.75751,1.08464,0.60983,0.0468,0.04166,0.02443,1.89128,3.64495,1.72434,0.0340911,0.000664415,0.000664415
3,254.675,0.80609,2.26193,1.0086,0.5519,0.05111,0.04489,0.0251,2.00699,3.66203,1.79893,0.00108848,0.00099511,0.00099511
4,334.502,0.73725,1.98732,0.97352,0.49378,0.04738,0.0499,0.02565,2.09246,3.67498,1.90575,0.00099406,0.00099406,0.00099406
5,414.273,0.69101,1.79582,0.95343,0.43035,0.05972,0.05908,0.03129,2.05103,3.5471,1.84876,0.00099208,0.00099208,0.00099208
6,493.744,0.66827,1.65756,0.9386,0.46784,0.05487,0.05679,0.02928,2.11199,3.65328,1.89327,0.0009901,0.0009901,0.0009901
7,572.726,0.64743,1.5653,0.93161,0.4196,0.04505,0.05389,0.02759,2.11534,3.72989,1.91456,0.00098812,0.00098812,0.00098812
8,651.976,0.62965,1.45979,0.92312,0.40762,0.05018,0.05918,0.03043,2.14187,3.78432,1.9336,0.00098614,0.00098614,0.00098614
9,731.12,0.63071,1.38914,0.92086,0.41257,0.05882,0.06175,0.03194,2.15522,3.68149,1.91981,0.00098416,0.00098416,0.00098416
10,811.294,0.60699,1.30123,0.91341,0.42629,0.05965,0.06621,0.03475,2.09144,3.74321,1.88044,0.00098218,0.00098218,0.00098218
11,891.058,0.59878,1.23502,0.90846,0.39898,0.04425,0.05256,0.02697,2.18531,3.91225,1.94675,0.0009802,0.0009802,0.0009802
12,970.211,0.58759,1.18092,0.90504,0.45573,0.05234,0.05857,0.0292,2.16182,3.88147,1.946,0.00097822,0.00097822,0.00097822
13,1049.17,0.58623,1.12195,0.90314,0.4286,0.04442,0.05941,0.02825,2.16285,3.94208,1.94346,0.00097624,0.00097624,0.00097624
14,1128.11,0.57112,1.07296,0.89873,0.41074,0.04918,0.05778,0.02755,2.20708,3.89017,1.97739,0.00097426,0.00097426,0.00097426
15,1207.28,0.56748,1.02394,0.89455,0.40657,0.05271,0.06517,0.03306,2.15121,3.93089,1.95698,0.00097228,0.00097228,0.00097228
16,1287.32,0.55686,0.98381,0.89268,0.39441,0.04954,0.05957,0.02946,2.1616,3.84821,1.93452,0.0009703,0.0009703,0.0009703
17,1366.68,0.55735,0.9435,0.89153,0.346,0.0451,0.05597,0.02901,2.17146,3.92397,1.93821,0.00096832,0.00096832,0.00096832
18,1445.49,0.54505,0.90399,0.88707,0.40769,0.05464,0.063,0.03141,2.17531,3.89077,1.93128,0.00096634,0.00096634,0.00096634
19,1524.23,0.53991,0.87536,0.88489,0.26487,0.06239,0.05227,0.0261,2.23893,4.16288,1.99866,0.00096436,0.00096436,0.00096436
20,1603.14,0.53948,0.84763,0.88242,0.38069,0.04955,0.05714,0.02878,2.19428,3.92849,1.948,0.00096238,0.00096238,0.00096238
